Invoice Number,Invoice Date,Account Number,Tracking Number,Service Type,Ship Date,Delivery Date,Origin City,Origin State,Origin Zip,Destination City,Destination State,Destination Zip,Zone,Actual Weight,Billed Weight,DIM Weight,DIM Divisor,Package Length,Package Width,Package Height,Base Charge,Fuel Surcharge,Residential Surcharge,Delivery Area Surcharge,Large Package Surcharge,Additional Handling,Saturday Delivery,Total Charges,Reference 1,Reference 2
INV-2024-001234,2024-10-15,ABC123456,1Z999AA10123456784,UPS Ground,2024-10-08,2024-10-10,New York,NY,10001,Los Angeles,CA,90001,8,15.5,16,22,139,18,14,12,45.67,5.23,4.90,3.25,0.00,0.00,0.00,59.05,ORD-2024-8934,CUST-5621
INV-2024-001234,2024-10-15,ABC123456,1Z999AA10123456785,UPS 2nd Day Air,2024-10-09,2024-10-11,Chicago,IL,60601,Miami,FL,33101,6,8.2,9,18,139,16,12,10,125.30,14.35,4.90,0.00,0.00,7.50,0.00,152.05,ORD-2024-8935,CUST-5622
INV-2024-001234,2024-10-15,ABC123456,1Z999AA10123456786,UPS Next Day Air,2024-10-10,2024-10-11,Seattle,WA,98101,Boston,MA,02101,8,22.7,23,28,139,20,15,13,185.45,21.25,0.00,0.00,35.00,0.00,0.00,241.70,ORD-2024-8936,CUST-5623
INV-2024-001234,2024-10-15,ABC123456,1Z999AA10123456787,UPS Ground,2024-10-07,2024-10-12,Dallas,TX,75201,Phoenix,AZ,85001,5,5.3,6,15,139,14,11,9,32.15,3.68,4.90,3.25,0.00,0.00,0.00,43.98,ORD-2024-8937,CUST-5624
INV-2024-001234,2024-10-15,ABC123456,1Z999AA10123456788,UPS 3 Day Select,2024-10-08,2024-10-11,Atlanta,GA,30301,Denver,CO,80201,6,12.8,13,20,139,17,13,11,78.90,9.04,4.90,0.00,0.00,0.00,0.00,92.84,ORD-2024-8938,CUST-5625
INV-2024-001234,2024-10-15,ABC123456,1Z999AA10123456789,UPS Ground,2024-10-09,2024-10-14,Portland,OR,97201,San Diego,CA,92101,4,18.9,19,25,139,19,14,12,42.30,4.84,0.00,0.00,0.00,7.50,0.00,54.64,ORD-2024-8939,CUST-5626
INV-2024-001234,2024-10-15,ABC123456,1Z999AA10123456790,UPS Next Day Air Early,2024-10-10,2024-10-11,Houston,TX,77001,Philadelphia,PA,19101,7,3.2,4,12,139,12,10,8,225.60,25.84,4.90,0.00,0.00,0.00,45.00,301.34,ORD-2024-8940,CUST-5627
INV-2024-001234,2024-10-15,ABC123456,1Z999AA10123456791,UPS Ground,2024-10-06,2024-10-10,Las Vegas,NV,89101,Nashville,TN,37201,7,25.4,26,32,139,22,16,14,58.75,6.73,4.90,3.25,35.00,0.00,0.00,108.63,ORD-2024-8941,CUST-5628
INV-2024-001234,2024-10-15,ABC123456,1Z999AA10123456792,UPS 2nd Day Air,2024-10-08,2024-10-10,Detroit,MI,48201,Orlando,FL,32801,6,9.7,10,19,139,16,13,11,118.25,13.54,0.00,0.00,0.00,0.00,0.00,131.79,ORD-2024-8942,CUST-5629
INV-2024-001234,2024-10-15,ABC123456,1Z999AA10123456793,UPS Ground,2024-10-07,2024-10-13,Minneapolis,MN,55401,Kansas City,MO,64101,4,14.2,15,21,139,18,13,11,38.45,4.40,4.90,0.00,0.00,7.50,0.00,55.25,ORD-2024-8943,CUST-5630
INV-2024-001234,2024-10-15,ABC123456,1Z999AA10123456794,UPS 3 Day Select,2024-10-09,2024-10-12,Tampa,FL,33601,Charlotte,NC,28201,3,7.8,8,16,139,15,12,10,72.35,8.29,4.90,0.00,0.00,0.00,0.00,85.54,ORD-2024-8944,CUST-5631
INV-2024-001234,2024-10-15,ABC123456,1Z999AA10123456795,UPS Next Day Air,2024-10-10,2024-10-11,San Francisco,CA,94101,Salt Lake City,UT,84101,5,11.3,12,18,139,17,12,10,165.80,19.00,0.00,3.25,0.00,0.00,0.00,188.05,ORD-2024-8945,CUST-5632
INV-2024-001234,2024-10-15,ABC123456,1Z999AA10123456796,UPS Ground,2024-10-08,2024-10-15,Columbus,OH,43201,Richmond,VA,23219,4,19.6,20,24,139,19,13,11,41.20,4.72,4.90,0.00,0.00,0.00,0.00,50.82,ORD-2024-8946,CUST-5633
INV-2024-001234,2024-10-15,ABC123456,1Z999AA10123456797,UPS 2nd Day Air,2024-10-09,2024-10-11,Milwaukee,WI,53201,New Orleans,LA,70112,5,6.5,7,14,139,14,11,9,108.90,12.47,4.90,3.25,0.00,0.00,0.00,129.52,ORD-2024-8947,CUST-5634
INV-2024-001234,2024-10-15,ABC123456,1Z999AA10123456798,UPS Ground,2024-10-07,2024-10-12,Indianapolis,IN,46201,Pittsburgh,PA,15201,3,23.1,24,30,139,21,15,13,48.65,5.57,0.00,0.00,35.00,7.50,0.00,96.72,ORD-2024-8948,CUST-5635